Group 4,10:40,Round 4,,The Bear - White,,,,,,,,,,,Round 4 - Group 4,,,,,The Bear - White,,,,,,,
Hole:,Team Best Ball,,Hole:,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,TOTAL,NET
Handicap:,,,Handicap:,11,3,15,13,1,17,5,7,9,,,Handi:,18,4,6,12,16,14,2,8,10,,,
Par:,,,Par:,4,4,5,3,4,5,4,4,3,36,,Par:,5,4,4,3,4,5,4,3,4,36,72,
Player,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Player,10,11,12,13,14,15,16,17,18,IN,Total Gross,Total Net
,,,,,O,,,O,,O,O,,,,,,O,O,,,,O,O,,,,
,,,,0,1,0,0,1,0,1,1,0,,,,0,1,1,0,0,0,1,1,0,,,
Telly,TEES,8,8,5,4,5,3,4,6,6,4,3,40,,Telly,6,6,5,3,4,4,5,5,6,44,84,76
,,,,O   O,O   O,O   O,O   O,O   O,O   O,O   O,O   O,O   O,,,,O,O   O,O   O,O   O,O   O,O   O,O   O,O   O,O   O,,,
,,,,2,2,2,2,2,2,2,2,2,,,,1,2,2,2,2,2,2,2,2,,,
Saugy,TEES,35,35,4,6,6,5,6,7,7,5,7,53,,Saugy,8,5,8,4,8,9,7,7,5,61,114,79
,,,,,O,,,O,,O,O,O,,,,,O,O,,,,O,O,,,,
,,,,0,1,0,0,1,0,1,1,1,,,,0,1,1,0,0,0,1,1,0,,,
KJ,TEES,9,9,7,8,5,5,6,7,8,6,3,55,,KJ,5,4,4,4,7,8,6,6,6,50,105,96
,,,,,O,,,O,,O,O,O,,,,,O,O,,,,O,O,,,,
,,,,0,1,0,0,1,0,1,1,1,,,,0,1,1,0,0,0,1,1,0,,,
House,TEES,9,9,4,4,4,3,7,5,6,6,4,43,,House,5,5,8,6,6,5,5,6,3,49,92,83
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contr / Hole,,,,3,3,3,3,3,3,4,4,4,,,Contr / Hole,4,4,4,5,5,5,5,5,5,,Set count of,
"Team
Avg",,,,3.33,3.33,4.33,3.00,3.33,4.67,4.25,3.25,2.50,,,"Team
Avg",4.75,3.25,3.50,2.80,5.00,4.80,3.60,3.60,3.60,,Contribs/Hole,
Team Rel Net,,,,-2,-2,-2,0,-2,-1,1,-3,-2,,,Team Rel Net,-1,-3,-2,-1,5,-1,-2,3,-2,,in Card 1 row 23,
,,,,,,,,,,,,,,,,,,,,,,,,,Hole,Holes,Point
Team Score,Team Score,,,10,10,13,9,10,14,17,13,10,,,Team Score,19,13,14,14,25,24,18,18,18,Contr,Won,Share
,TEES,,,1,0.5,1,0.5,0,0.5,0,1,0,,,,0,2,0,0,0,2,0,0,2,,,10.5
Telly,,,,0.00,1.00,0.25,1.00,1.00,0.00,0.40,1.00,0.40,,,,0.00,0.00,0.67,1.00,1.00,1.00,1.00,1.00,0.00,10.72,3.25,1.56
Saugy,,,,1.00,0.25,1.00,1.00,0.50,0.67,0.40,1.00,0.00,,,,0.00,1.00,0.00,1.00,0.67,0.00,0.00,0.00,1.00,9.48,5.96,1.38
KJ,,,,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.00,,,,0.60,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,1.25,0.56
House,,,,0.50,1.00,1.00,1.00,0.00,0.67,0.40,0.00,0.40,,,,0.60,0.50,0.00,0.00,0.67,1.00,1.00,0.00,1.00,9.73,5.33,1.42
,,,,,,,,,,,,,,,,,,,,,,,,,33.78,,
Telly,,,,0.00,0.17,0.08,0.17,0.00,0.00,0.00,0.25,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,,,14.9%
Saugy,,,,0.33,0.04,0.33,0.17,0.00,0.11,0.00,0.25,0.00,,,,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.40,,,13.2%
KJ,,,,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,5.3%
House,,,,0.17,0.17,0.33,0.17,0.00,0.11,0.00,0.00,0.00,,,,0.00,0.25,0.00,0.00,0.00,0.40,0.00,0.00,0.40,,,13.5%
