Group 4,1:00,Round 1,,The Loop Red - Middle,,,,,,,,,,,,Round 1,,The Loop Red - Middle,,,,,,,,,,,,,
Handi:,2-Man Stableford,11,9,7,13,3,17,15,1,5,,,,,,Handi:,2,12,14,8,16,6,4,18,10,,,,,,
Par:,,4,5,4,3,4,3,4,4,5,36,,,,,Par:,4,3,4,5,3,4,4,3,4,34,70,,,,
Hole:,,1,2,3,4,5,6,7,8,9,OUT,,,,,Hole:,10,11,12,13,14,15,16,17,18,IN,Gross,Net,,,
,,,,,,,,,,,,,Key:,Net:,,,,,,,,,,,,,,,,Key:,
,Tee Handi,,,O,,O,,,O,O,,,,,,,O,,,,,O,O,,,,,,,,
,,0,0,1,0,1,0,0,1,1,,,,,,,1,0,0,0,0,1,1,0,0,,,,,,
KJ,7,5,5,5,4,4,6,4,4,6,43,,10,"Dub
Alba",,KJ,6,7,3,5,4,4,3,6,5,43,86,79,,10,"Dub
Alba"
Admin,Points:,0,1,1,0,3,-3,1,3,1,7,,7,Alba,,Points:,0,-3,3,1,0,3,5,-3,0,6,13,,,7,Alba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tee Handi,O,O,O,,O,,,O,O,,,,,,,O,,,O,,O,O,,O,,,,,,
,,1,1,1,0,1,0,0,1,1,,,,,,,1,0,0,1,0,1,1,0,1,,,,,,
Weezy,11,6,6,5,4,5,3,5,4,6,44,,5,Eagle,,Weezy,5,4,5,5,4,5,6,4,4,42,86,75,,5,Eagle
Admin,Points:,0,1,1,0,1,1,0,3,1,8,,3,Bird,,Points:,1,0,0,3,0,1,0,0,3,8,16,,,3,Bird
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tee Handi,,,,,O,,,O,O,,,,,,,O,,,,,O,O,,,,,,,,
,,0,0,0,0,1,0,0,1,1,,,,,,,1,0,0,0,0,1,1,0,0,,,,,,
CuzNick,6,5,5,5,3,6,4,4,5,5,42,,1,Par,,CuzNick,4,4,4,5,3,5,4,4,5,38,80,74,,1,Par
Foxes,Points:,0,1,0,1,0,0,1,1,3,7,,0,Bogey,,Points:,3,0,1,1,1,1,3,0,0,10,17,,,0,Bogey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tee Handi,O,O   O,O   O,O,O   O,O,O,O   O,O   O,,,,,,,O   O,O,O,O   O,O,O   O,O   O,O,O   O,,,,,,
,,1,2,2,1,2,1,1,2,2,,,,,,,2,1,1,2,1,2,2,1,2,,,,,,
Saugy,28,4,7,7,5,6,4,5,6,6,50,,-2,Dub,,Saugy,7,3,5,10,6,6,5,4,5,51,101,73,,-2,Dub
Foxes,Points:,3,1,0,0,1,1,1,1,3,11,,-3,Trip +,,Points:,0,3,1,-3,-2,1,3,1,3,7,18,,,-3,Trip +
,,,,,,,,,,,"Stable
Front",,"BC Pts
Front",,,,,,,,,,,,,"Stable
Back","Stable
Overall","BC Pts
Back","BC Pts
Overall",,"TOTAL
BC Pts"
Admin,Admin,0,2,2,0,4,-2,1,6,2,15,,0,,,Admin,1,-3,3,4,0,4,5,-3,3,14,29,0,0,,0
Foxes,Foxes,3,2,0,1,1,1,2,2,6,18,,1,,,Foxes,3,3,2,-2,-1,2,6,1,3,17,35,1,2,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Hole,Holes,Point,,,
Admin,,-1,0,1,-1,1,-1,-1,1,-1,,,,,,,-1,-1,1,1,1,1,-1,-1,0,Contr,Won,Share,,,
KJ,,0,1,1,0,3,-3,1,3,1,,,,,,,0,-3,3,1,0,3,5,-3,0,8.1,3.7,0.00,,,
Weezy,,0,1,1,0,1,1,0,3,1,,,,,,,1,0,0,3,0,1,0,0,3,9.9,4.5,0.00,,,
Foxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuzNick,,0,1,0,1,0,0,1,1,3,,,,,,,3,0,1,1,1,1,3,0,0,8.7,4.8,1.95,,,
Saugy,,3,1,0,0,1,1,1,1,3,,,,,,,0,3,1,-3,-2,1,3,1,3,9.3,5.1,2.05,,,
